0.439787611,86,1,1,268,0,3129224200,802264,0,0,TCP
16.697665545,86,1,1,86400,0,2399603,1288052257,0,0,TCP
16.701482768,86,1,518,66816,0,1288052262,2399603,0,0,TCP
16.704229897,1294,1209,518,66816,1208,1288052265,2399603,0,0,TCP
16.704265416,1294,2417,518,66816,1208,1288052265,2399603,0,0,TCP
16.708112527,86,518,1209,88832,0,2399604,1288052265,0,0,TCP
16.709442564,86,518,2417,91232,0,2399604,1288052265,0,0,TCP
16.709531101,86,518,3625,93664,0,2399604,1288052265,0,0,TCP
16.715654805,86,518,4490,96064,0,2399604,1288052265,0,0,TCP
16.846341508,86,1,1,86400,0,2399618,862445178,0,0,TCP
16.850422749,86,1,518,66816,0,862445184,2399618,0,0,TCP
16.852911527,1294,1209,518,66816,1208,862445187,2399618,0,0,TCP
16.852940916,1294,2417,518,66816,1208,862445187,2399618,0,0,TCP
16.852964156,1294,3625,518,66816,1208,862445187,2399618,0,0,TCP
16.854816601,86,518,1209,88832,0,2399619,862445187,0,0,TCP
16.855090212,86,518,2417,91232,0,2399619,862445187,0,0,TCP
16.855102397,86,518,3625,93664,0,2399619,862445187,0,0,TCP
16.855178434,86,518,4833,96064,0,2399619,862445187,0,0,TCP
16.855442990,86,518,4861,96064,0,2399619,862445187,0,0,TCP
16.968311971,86,592,5456,98496,0,2399630,1288052527,0,0,TCP
16.996542601,86,684,5847,98496,0,2399633,862445329,0,0,TCP
17.000335119,86,5878,1073,67840,0,862445334,2399633,0,0,TCP
17.076491638,125,6929,1073,67840,39,862445410,2399633,1,0,TCP
17.105477267,86,1073,6183,100896,0,2399644,862445396,0,0,TCP
17.105800619,86,1073,6898,103328,0,2399644,862445396,0,0,TCP
17.105813434,86,1073,6929,103328,0,2399644,862445396,0,0,TCP
17.105823341,86,1073,6968,103328,0,2399644,862445397,0,0,TCP
17.106535175,98,1073,6968,103328,0,2399644,862445410,0,1,TCP
17.118463286,86,6968,1112,67840,0,862445452,2399644,0,0,TCP
17.760744860,66,1,1,87616,0,2399709,2092844335,0,0,TCP
17.762812137,66,1,518,64768,0,2092844339,2399709,0,0,TCP
17.763354508,66,1,1,87616,0,2399710,3571736930,0,0,TCP
17.766349026,66,1,518,15117,0,3571736934,2399710,0,0,TCP
17.770518285,66,518,1449,90496,0,2399710,2092844344,0,0,TCP
17.771157211,66,518,2029,93408,0,2399710,2092844344,0,0,TCP
17.771329989,66,518,1449,90496,0,2399710,3571736937,0,0,TCP
17.771515248,66,518,3223,96288,0,2399710,3571736937,0,0,TCP
17.922479063,78,2029,518,64768,0,2092844498,2399710,0,1,TCP
17.923479841,66,3223,644,15243,0,3571737092,2399720,0,0,TCP
17.927965933,66,644,3274,96288,0,2399726,3571737092,0,0,TCP
17.930061248,66,3274,1033,15632,0,3571737099,2399726,0,0,TCP
17.933536971,96,518,2029,93408,30,2399727,2092844498,1,0,TCP
17.934446693,66,2029,549,64768,0,2092844510,2399727,0,0,TCP
17.934461915,66,2029,549,64768,0,2092844511,2399727,0,0,TCP
17.935666285,66,549,2030,93408,0,2399727,2092844511,0,0,TCP
17.936341711,1514,3274,1033,15632,1448,3571737105,2399726,0,0,TCP
17.936358100,1514,4722,1033,15632,1448,3571737105,2399726,0,0,TCP
17.936396211,1514,6170,1033,15632,1448,3571737105,2399726,0,0,TCP
17.936400489,1514,7618,1033,15632,1448,3571737105,2399726,0,0,TCP
17.936426285,1514,9066,1033,15632,1448,3571737105,2399726,0,0,TCP
17.938733508,66,1033,6170,102080,0,2399727,3571737105,0,0,TCP
17.938881878,66,1033,9066,107872,0,2399727,3571737105,0,0,TCP
17.939026322,66,1033,11276,113664,0,2399727,3571737105,0,0,TCP
25.159245966,66,1,1,87616,0,2400449,2744941756,0,0,TCP
25.162916448,66,1,518,57344,0,2744941761,2400449,0,0,TCP
