01.09.2023 05:41;70021;28119;30.2;-71;WLAN
01.09.2023 05:42;4709;6484;89.3;-41;WLAN
01.09.2023 05:43;32354;19106;22.0;-56;WLAN
01.09.2023 05:44;31716;5401;42.6;-41;WLAN
01.09.2023 05:45;52174;19129;40.0;-68;WLAN
01.09.2023 05:46;77519;50899;52.1;-66;WLAN
01.09.2023 05:46;20398;19380;39.2;-53;WLAN
01.09.2023 05:48;31200;18827;40.0;-79;WLAN
01.09.2023 05:49;75608;3214;41.6;-68;WLAN
01.09.2023 05:49;184539;28974;40.0;-77;WLAN
01.09.2023 05:50;67865;3013;45.0;-66;WLAN
01.09.2023 05:50;72924;3419;45.2;-69;WLAN
01.09.2023 05:50;29505;11659;18.0;-54;WLAN
01.09.2023 05:51;100414;45381;30.0;-51;WLAN
01.09.2023 05:56;18580;4005;10.0;-45;WLAN
01.09.2023 05:57;76520;3358;44.1;-70;WLAN
01.09.2023 05:59;40286;9515;35.0;-54;WLAN
01.09.2023 06:02;6201;2251;26.0;-65;WLAN
01.09.2023 06:02;86544;41736;30.0;-68;WLAN
01.09.2023 06:06;8711;1535;51.0;-72;WLAN
01.09.2023 06:07;149023;51604;8.0;-59;WLAN
01.09.2023 06:10;1497;14253;47.3;-50;WLAN
01.09.2023 06:11;32099;8426;11.0;-65;WLAN
01.09.2023 06:12;14121;28517;31.4;-34;WLAN
01.09.2023 06:16;12531;17348;30.0;-51;WLAN
01.09.2023 06:17;51356;47678;9.0;-68;WLAN
01.09.2023 06:24;29793;6935;14.0;-29;WLAN
01.09.2023 06:24;34218;7982;48.0;-71;WLAN
01.09.2023 06:24;37125;5388;14.0;-35;WLAN
01.09.2023 06:25;47650;7636;14.0;-23;WLAN
01.09.2023 06:26;51809;7702;17.0;-73;WLAN
01.09.2023 06:26;3011;17778;40.1;-27;WLAN
01.09.2023 06:27;47666;9140;19.0;-34;WLAN
01.09.2023 06:27;6477;5224;463.4;-52;WLAN
01.09.2023 06:28;4676;4007;37.5;-69;WLAN
01.09.2023 06:29;15426;18719;39.2;-67;WLAN
01.09.2023 06:32;643;3975;156.3;-76;WLAN
01.09.2023 06:34;106301;10612;24.0;-57;WLAN
01.09.2023 06:34;38855;2207;37.5;-51;WLAN
01.09.2023 06:34;4707;6740;95.5;-41;WLAN
01.09.2023 06:35;4697;6501;92.0;-44;WLAN
01.09.2023 06:36;25580;8249;9.0;-65;WLAN
01.09.2023 06:36;3592;6282;96.2;-46;WLAN
01.09.2023 06:37;56301;20994;46.5;-49;WLAN
01.09.2023 06:38;10983;41076;33.0;-66;WLAN
01.09.2023 06:38;2940;41960;50.1;-55;WLAN
01.09.2023 06:39;61607;40046;31.0;-55;WLAN
01.09.2023 06:40;27721;4024;39.8;-57;WLAN
01.09.2023 06:42;2643;5743;94.7;-49;WLAN
01.09.2023 06:42;14832;4684;21.0;-65;WLAN
01.09.2023 06:42;8162;4429;67.9;-66;WLAN
01.09.2023 06:44;38484;17932;16.0;-72;WLAN
01.09.2023 06:46;8601;12070;34.0;-65;WLAN
01.09.2023 06:46;34599;9435;40.0;-55;WLAN
01.09.2023 06:46;8769;15182;30.0;-65;WLAN
01.09.2023 06:49;43460;18122;22.0;-59;WLAN
01.09.2023 06:49;29978;9217;14.0;-67;WLAN
01.09.2023 06:53;79071;22411;24.0;-61;WLAN
01.09.2023 06:58;20059;13169;30.0;-60;WLAN
01.09.2023 06:59;6756;16784;55.3;-55;WLAN
01.09.2023 07:00;45489;9685;42.5;-48;WLAN
01.09.2023 07:01;68976;13673;20.0;-74;WLAN
01.09.2023 07:03;130121;28123;30.0;-58;WLAN
01.09.2023 07:03;24728;6123;29.2;-58;WLAN
01.09.2023 07:07;30308;9802;58.0;-58;WLAN
01.09.2023 07:08;25141;9830;56.5;-56;WLAN
01.09.2023 07:10;44907;22850;21.0;-68;WLAN
01.09.2023 07:11;26360;7587;31.0;-64;WLAN
01.09.2023 07:14;254467;104709;4.0;-35;WLAN
01.09.2023 07:16;39058;10772;16.0;-45;WLAN
01.09.2023 07:17;16384;11457;12.0;-70;WLAN
01.09.2023 07:18;43027;10498;16.0;-49;WLAN
01.09.2023 07:18;21367;21802;135.0;-42;WLAN
01.09.2023 07:18;36596;6683;16.0;-44;WLAN
01.09.2023 07:18;103379;16771;15.0;-52;WLAN
01.09.2023 07:19;44994;9614;16.0;-48;WLAN
01.09.2023 07:19;27375;5457;16.0;-45;WLAN
01.09.2023 07:20;45200;5414;16.0;-45;WLAN
01.09.2023 07:20;5200;6157;33.6;-60;WLAN
01.09.2023 07:21;37457;5268;16.0;-44;WLAN
01.09.2023 07:22;43387;10803;16.0;-43;WLAN
01.09.2023 07:26;59118;7917;25.0;-42;WLAN
01.09.2023 07:26;102236;10540;14.0;-67;WLAN
01.09.2023 07:28;47219;24290;23.0;-80;WLAN
01.09.2023 07:29;5667;410;118.9;-80;WLAN
01.09.2023 07:31;30220;7153;48.0;-35;WLAN
01.09.2023 07:37;57484;14795;22.0;-68;WLAN
01.09.2023 07:37;32876;8234;10.0;-74;WLAN
01.09.2023 07:39;9998;3335;12.0;-76;WLAN
01.09.2023 07:40;27642;16153;11.0;-81;WLAN
01.09.2023 07:44;47479;18935;24.0;-71;WLAN
01.09.2023 07:44;25443;12983;39.5;-42;WLAN
01.09.2023 07:45;24642;38492;11.0;-67;WLAN
01.09.2023 07:46;68843;12085;24.0;-69;WLAN
01.09.2023 07:47;106330;10625;23.0;-57;WLAN
01.09.2023 07:48;828;1116;46.0;-57;WLAN
01.09.2023 07:49;29211;43263;11.0;-54;WLAN
01.09.2023 07:50;121742;136845;13.0;-75;WLAN
01.09.2023 07:55;9534;1915;35.3;-55;WLAN
01.09.2023 07:57;48065;15602;34.1;-59;WLAN
01.09.2023 08:00;1550;1137;59.8;-57;WLAN
01.09.2023 08:00;39924;8447;35.7;-53;WLAN
01.09.2023 08:01;117815;10742;64.3;-46;WLAN
01.09.2023 08:06;93968;45109;8.0;-63;WLAN
01.09.2023 08:09;77101;14841;35.4;-43;WLAN
01.09.2023 08:10;13420;6782;25.0;-83;WLAN
01.09.2023 08:12;30016;37026;16.0;-64;WLAN
01.09.2023 08:12;549;11033;49.7;-56;WLAN
01.09.2023 08:12;26995;7079;40.0;-71;WLAN
